State,Total,Male ,Female ,Sex_r 2021,Sex _r 2011
Jammu &amp; Kashmir,12541302,6640662,5900640,892,889
Himachal Pradesh,6864602,3481873,3382729,968,972
Punjab,27743338,14639465,13103873,876,895
Uttarakhand,10086292,5137773,4948519,962,963
Haryana,25351462,13494734,11856728,861,879
Rajasthan,68548437,35550997,32997440,921,928
Uttarpradesh,199812341,104480510,95331831,898,912
Bihar,104099452,54278157,49821295,919,918
Sikkim,610577,323070,287507,875,890
Arunachal Pradesh,1383727,713912,669815,893,938
Nagaland,1978502,1024649,953853,900,931
Manipur,2570390,1290171,1280219,978,992
Mizoram,1097206,555339,541867,935,976
Tripura,3673917,1874376,1799541,948,960
Meghalaya,2966889,1491832,1475057,972,989
Assam,31205576,15939443,15266133,935,958
West Bengal,91276115,46809027,44467088,934,950
Jharkhand,32988134,16930315,16057819,941,948
Odisha,41974218,21212136,20762082,972,979
Chhattisgarh,25545198,12832895,12712303,989,991
Madhya Pradesh,72626809,37612306,35014503,919,931
Gujarat,60439692,31491260,28948432,920,919
Maharashtra,112374333,58243056,54131277,922,929
Andhra Pradesh,84580777,42442146,42138631,978,993
Karnataka,61095297,30966657,30128640,965,973
Goa,1458545,739140,719405,961,973
Kerala,33406061,16027412,17378649,1059,1084
Tamilnadu,72147030,36137975,36009055,987,996
