STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_threats,Total_fem,safety_index
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0,454,42138631,1.08E-05
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0,356,42138631,8.45E-06
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0,456,42138631,1.08E-05
ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0,278,42138631,6.60E-06
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0,475,42138631,1.13E-05
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0,1,42138631,2.37E-08
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0,758,42138631,1.80E-05
ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0,991,42138631,2.35E-05
ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0,886,42138631,2.10E-05
ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0,782,42138631,1.86E-05
ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0,613,42138631,1.45E-05
ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0,429,42138631,1.02E-05
ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0,386,42138631,9.16E-06
ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0,398,42138631,9.45E-06
ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0,546,42138631,1.30E-05
ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0,858,42138631,2.04E-05
ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0,359,42138631,8.52E-06
ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0,395,42138631,9.37E-06
ANDHRA PRADESH,RANGA REDDY,2001,72,83,37,113,55,421,7,788,42138631,1.87E-05
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,1,0,1,0,0,2,42138631,4.75E-08
ANDHRA PRADESH,SRIKAKULAM,2001,8,12,6,38,47,108,0,219,42138631,5.20E-06
ANDHRA PRADESH,VIJAYAWADA,2001,25,48,2,84,122,520,0,801,42138631,1.90E-05
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,1,0,0,1,1,0,0,3,42138631,7.12E-08
ANDHRA PRADESH,VISAKHA RURAL,2001,12,12,3,67,48,99,0,241,42138631,5.72E-06
ANDHRA PRADESH,VISAKHAPATNAM,2001,13,6,0,33,462,204,0,718,42138631,1.70E-05
ANDHRA PRADESH,VIZIANAGARAM,2001,8,2,0,40,22,121,0,193,42138631,4.58E-06
ANDHRA PRADESH,WARANGAL,2001,53,25,52,241,0,165,0,536,42138631,1.27E-05
ANDHRA PRADESH,WEST GODAVARI,2001,61,21,15,246,56,348,0,747,42138631,1.77E-05
ANDHRA PRADESH,TOTAL,2001,871,765,420,3544,2271,5791,7,13669,42138631,0.000324382
ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0,6,669815,8.96E-06
ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0,12,669815,1.79E-05
ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0,12,669815,1.79E-05
ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0,2,669815,2.99E-06
ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0,16,669815,2.39E-05
ARUNACHAL PRADESH,PAPUM PARE,2001,9,5,0,6,0,3,0,23,669815,3.43E-05
ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0,21,669815,3.14E-05
ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0,10,669815,1.49E-05
ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0,43,669815,6.42E-05
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0,11,669815,1.64E-05
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0,13,669815,1.94E-05
ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0,7,669815,1.05E-05
ARUNACHAL PRADESH,TIRAP,2001,1,3,0,0,0,0,0,4,669815,5.97E-06
ARUNACHAL PRADESH,TOTAL,2001,33,55,0,78,3,11,0,180,669815,0.000268731
ASSAM,BARPETA,2001,28,88,10,29,0,95,0,250,15266133,1.64E-05
ASSAM,BONGAIGAON,2001,20,21,1,22,0,26,0,90,15266133,5.90E-06
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,0,15266133,0
ASSAM,CACHAR,2001,45,74,7,80,0,216,0,422,15266133,2.76E-05
ASSAM,DARRANG,2001,48,47,9,56,0,37,0,197,15266133,1.29E-05
ASSAM,DHEMAJI,2001,42,20,0,26,0,0,0,88,15266133,5.76E-06
ASSAM,DHUBRI,2001,43,51,5,49,0,111,0,259,15266133,1.70E-05
ASSAM,DIBRUGARH,2001,35,37,3,41,0,19,0,135,15266133,8.84E-06
ASSAM,G.R.P.,2001,1,0,0,0,0,0,0,1,15266133,6.55E-08
ASSAM,GOALPARA,2001,35,35,1,54,0,64,0,189,15266133,1.24E-05
ASSAM,GOLAGHAT,2001,30,40,0,23,0,26,0,119,15266133,7.80E-06
ASSAM,GUWAHATI CITY,2001,37,64,5,67,0,98,0,271,15266133,1.78E-05
ASSAM,HAILAKANDI,2001,24,34,2,27,0,28,0,115,15266133,7.53E-06
ASSAM,JORHAT,2001,42,28,2,44,0,48,0,164,15266133,1.07E-05
ASSAM,KAMRUP,2001,21,65,2,42,0,27,0,157,15266133,1.03E-05
ASSAM,KARBI ANGLONG,2001,5,15,4,5,0,8,0,37,15266133,2.42E-06
ASSAM,KARIMGANJ,2001,33,8,1,9,0,30,0,81,15266133,5.31E-06
ASSAM,KOKRAJHAR,2001,14,12,0,37,0,20,0,83,15266133,5.44E-06
ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0,241,15266133,1.58E-05
ASSAM,MORIGAON,2001,23,37,0,6,0,28,0,94,15266133,6.16E-06
ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0,15,15266133,9.83E-07
ASSAM,NAGAON,2001,51,109,1,113,4,132,0,410,15266133,2.69E-05
ASSAM,NALBARI,2001,30,27,3,16,0,15,0,91,15266133,5.96E-06
ASSAM,R.P.O.,2001,3,0,0,0,0,0,0,3,15266133,1.97E-07
ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0,139,15266133,9.11E-06
ASSAM,SONITPUR,2001,53,80,1,43,0,99,0,276,15266133,1.81E-05
ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0,121,15266133,7.93E-06
ASSAM,TOTAL,2001,817,1070,59,850,4,1248,0,4048,15266133,0.000265162
BIHAR,ARARIA,2001,93,13,11,3,0,50,0,170,49821295,3.41E-06
BIHAR,ARWAL,2001,0,0,7,11,0,14,0,32,49821295,6.42E-07
BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0,87,49821295,1.75E-06
BIHAR,BAGAHA,2001,25,6,0,4,0,2,0,37,49821295,7.43E-07
BIHAR,BANKA,2001,34,10,9,0,0,16,0,69,49821295,1.38E-06
BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0,94,49821295,1.89E-06
BIHAR,BETTIAH,2001,20,23,17,23,0,54,8,145,49821295,2.91E-06
BIHAR,BHABHUA,2001,10,12,8,7,0,22,0,59,49821295,1.18E-06
BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0,131,49821295,2.63E-06
BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0,91,49821295,1.83E-06
BIHAR,BUXAR,2001,8,1,15,0,0,0,0,24,49821295,4.82E-07
BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0,146,49821295,2.93E-06
BIHAR,GAYA,2001,25,15,26,27,0,24,0,117,49821295,2.35E-06
BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0,210,49821295,4.22E-06
BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0,3,49821295,6.02E-08
BIHAR,JAMUI,2001,10,1,16,8,0,15,0,50,49821295,1.00E-06
BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0,40,49821295,8.03E-07
BIHAR,KATIHAR,2001,51,20,6,6,0,29,0,112,49821295,2.25E-06
BIHAR,KATIHAR RLY.,2001,0,1,0,2,0,0,0,3,49821295,6.02E-08
BIHAR,KHAGARIA,2001,5,6,11,6,0,2,0,30,49821295,6.02E-07
BIHAR,KISHANGANJ,2001,22,16,4,2,1,39,0,84,49821295,1.69E-06
BIHAR,LAKHISARAI,2001,10,7,6,12,0,5,0,40,49821295,8.03E-07
BIHAR,MADHEPURA,2001,11,15,6,3,0,10,0,45,49821295,9.03E-07
BIHAR,MADHUBANI,2001,13,11,12,41,0,18,0,95,49821295,1.91E-06
BIHAR,MOTIHARI,2001,44,35,37,3,1,47,0,167,49821295,3.35E-06
BIHAR,MUNGER,2001,11,15,8,0,0,39,0,73,49821295,1.47E-06
BIHAR,MUZAFFARPUR,2001,73,25,69,81,0,141,6,395,49821295,7.93E-06
BIHAR,MUZAFFARPUR RLY.,2001,2,1,0,4,0,1,0,8,49821295,1.61E-07
